"featureNames","featureDescriptions"
"c6_freqStart5","For sites of class 6: Frequency of centered sites where the match starts at position 5"
"c7_freqStart3","For sites of class 7: Frequency of centered sites where the match starts at position 3"
"c7_freqStart4","For sites of class 7: Frequency of centered sites where the match starts at position 4"
"c7_freqStart5","For sites of class 7: Frequency of centered sites where the match starts at position 5"
"c8_freqStart3","For sites of class 8: Frequency of centered sites where the match starts at position 3"
"c8_freqStart4","For sites of class 8: Frequency of centered sites where the match starts at position 4"
"c8_freqStart5","For sites of class 8: Frequency of centered sites where the match starts at position 5"
"c9_freqStart3","For sites of class 9: Frequency of centered sites where the match starts at position 3"
"c9_freqStart4","For sites of class 9: Frequency of centered sites where the match starts at position 4"
"c9_freqStart5","For sites of class 9: Frequency of centered sites where the match starts at position 5"
"c1_freqA-10","For sites of class 1: Frequency of adenine at position -10"
"c1_freqA-9","For sites of class 1: Frequency of adenine at position -9"
"c1_freqA-8","For sites of class 1: Frequency of adenine at position -8"
"c1_freqA-7","For sites of class 1: Frequency of adenine at position -7"
"c1_freqA-6","For sites of class 1: Frequency of adenine at position -6"
"c1_freqA-5","For sites of class 1: Frequency of adenine at position -5"
"c1_freqA-4","For sites of class 1: Frequency of adenine at position -4"
"c1_freqA-3","For sites of class 1: Frequency of adenine at position -3"
"c1_freqA-2","For sites of class 1: Frequency of adenine at position -2"
"c1_freqA-1","For sites of class 1: Frequency of adenine at position -1"
"c1_freqA1","For sites of class 1: Frequency of adenine at position 1"
"c1_freqA2","For sites of class 1: Frequency of adenine at position 2"
"c1_freqA3","For sites of class 1: Frequency of adenine at position 3"
"c1_freqA4","For sites of class 1: Frequency of adenine at position 4"
"c1_freqA5","For sites of class 1: Frequency of adenine at position 5"
"c1_freqA6","For sites of class 1: Frequency of adenine at position 6"
"c1_freqA7","For sites of class 1: Frequency of adenine at position 7"
"c1_freqA8","For sites of class 1: Frequency of adenine at position 8"
"c1_freqA9","For sites of class 1: Frequency of adenine at position 9"
"c1_freqA10","For sites of class 1: Frequency of adenine at position 10"
"c1_freqA11","For sites of class 1: Frequency of adenine at position 11"
"c1_freqA12","For sites of class 1: Frequency of adenine at position 12"
"c1_freqA13","For sites of class 1: Frequency of adenine at position 13"
"c1_freqA14","For sites of class 1: Frequency of adenine at position 14"
"c1_freqA15","For sites of class 1: Frequency of adenine at position 15"
"c1_freqA16","For sites of class 1: Frequency of adenine at position 16"
"c1_freqA17","For sites of class 1: Frequency of adenine at position 17"
"c1_freqA18","For sites of class 1: Frequency of adenine at position 18"
